,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child affect:positive 3,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Verbal scaffolding:affective,"[1, 1.0]","[3, 4.014828782848531e-05]","[4, 8.333209180180874e-05]","[1, 1.0]","[1, 1.0]","[1, 4.752604869381979e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 2.159434838902633e-83]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 6.184020851957716e-11]","[4, 9.467127307285007e-08]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 2.4441920127422796e-06]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 2.44510004125575e-14]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.012431724860521342]","[1, 1.0]"
Non-verbal scaffolding:cognitive,"[1, 0.3907161849750932]","[4, 0.1544924410818429]","[3, 0.21187278826125444]","[1, 1.0]","[4, 0.998664585999115]","[1, 1.0]","[2, 0.3312692640729267]","[1, 1.0]","[2, 0.24304922047239053]","[4, 0.024385271930073237]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.03666317460447743]","[2, 0.0929642092127544]","[4, 0.0001498161259900303]","[1, 1.0]","[4, 0.0020897298679380815]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.05435173805388909]","[5, 0.015475141705772164]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.29764469813012406]","[1, 1.0]","[1, 0.009864420122562816]","[1, 0.01854217818985245]","[4, 0.9999857838605428]","[3, 0.050226341268006174]","[3, 0.16408363754728278]","[4, 0.27371386864906033]","[1, 0.1237043797532322]","[3, 0.00035261791274672353]","[1, 1.0]"
Non-verbal scaffolding:technical,"[5, 0.21710872256003746]","[1, 0.0008447737865652189]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 2.0962315830336783e-88]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.011097202116768165]","[1, 1.0]","[1, 1.0]","[5, 4.443877387018777e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Non-verbal scaffolding:affective,"[5, 0.004343588790029143]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.011356878782441855]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 2.776006594624301e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Parent gaze:robot,"[3, 0.6650051213350461]","[1, 0.13552590119236138]","[4, 0.9906658473459394]","[5, 0.00028343587938966397]","[1, 1.0]","[2, 0.5372197339744433]","[1, 0.3266603018650588]","[3, 0.9919653848394048]","[1, 0.5733012690467614]","[1, 0.30180770826170683]","[1, 1.0]","[4, 0.74405229521763]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.00045486867915254023]","[1, 0.0001486537090330008]","[4, 0.5717829081567716]","[2, 0.4113532739705139]","[4, 0.74405229521763]","[100, 100]","[1, 1.0]","[3, 0.6310706486814097]","[4, 0.0893406484086701]","[100, 100]","[4, 0.8941776574161623]","[4, 0.04193040491051514]","[3, 0.9954363115143506]","[5, 0.5780802313532794]","[4, 0.5095140568154161]","[3, 0.4589734303575145]","[4, 0.01600645308726939]","[5, 0.6758184831617798]","[1, 0.1292651541753067]","[3, 0.022111638445812414]","[1, 0.15520449020418547]","[2, 0.09888554340827392]","[3, 0.015316150079566321]"
Parent gaze:child,"[4, 0.11441084562202071]","[1, 0.26088570079493256]","[1, 0.28144191990576195]","[5, 0.11674219813644346]","[4, 0.06567362469115631]","[1, 0.09156926931134941]","[4, 0.21543636574339065]","[2, 0.9968645859886518]","[5, 0.46240655409602716]","[1, 0.018999750904851506]","[2, 0.992147520490461]","[4, 2.249829468402383e-05]","[5, 0.11887701644463287]","[1, 1.0]","[1, 7.587039283110839e-10]","[100, 100]","[5, 1.2388632233183989e-09]","[4, 0.6038268976964042]","[4, 0.05383465409689438]","[4, 2.249829468402383e-05]","[100, 100]","[1, 1.0]","[5, 0.10992390924776464]","[3, 0.42005050452946346]","[100, 100]","[3, 0.9999999404115124]","[2, 0.3439500112744328]","[1, 0.33034733973337527]","[5, 0.12561727713775794]","[3, 0.33489181988203753]","[4, 0.2125848495618543]","[4, 0.1477041861989781]","[5, 0.4541772745111946]","[1, 0.2518774457089942]","[3, 0.12315558315208044]","[1, 1.3977405251428175e-06]","[4, 2.5516775175438766e-06]","[2, 0.994769201429999]"
Parent gaze:props,"[3, 0.3340603463721098]","[1, 0.5225184942592926]","[1, 0.5406279409559844]","[1, 0.006501354486486661]","[3, 0.010560895911643426]","[4, 0.11886821729365035]","[2, 0.06327279049450261]","[1, 0.035271709513008384]","[5, 0.123677712342522]","[1, 0.07528305257910138]","[2, 0.9829167002341166]","[3, 1.1805969157367558e-09]","[5, 0.04758721057011347]","[1, 1.0]","[3, 0.0071230011200153305]","[4, 1.4789870997596658e-15]","[100, 100]","[3, 0.28086884037428]","[3, 0.3986643107555158]","[3, 1.1805969157367558e-09]","[100, 100]","[1, 1.0]","[5, 0.08343793037834267]","[3, 0.0010642432307947122]","[100, 100]","[2, 0.9657814086685118]","[4, 0.09239323340174065]","[1, 0.2676276914745738]","[4, 0.8097195282145777]","[3, 0.010790608569695532]","[2, 0.4383849518871259]","[1, 0.14151363482307597]","[5, 0.0851359610131956]","[5, 0.6258563986574761]","[3, 0.30585666325614513]","[4, 0.0027528521840585797]","[4, 0.2595663277637391]","[3, 0.08232915273528449]"
Parent affect:positive 2,"[3, 0.5015755285480874]","[2, 0.01761526245033858]","[1, 0.006485993318217676]","[1, 0.9959760408053948]","[1, 1.0]","[5, 0.014633797415013316]","[2, 0.16362627776245398]","[1, 0.9968832238138091]","[1, 0.03142707470525335]","[1, 7.479843554080063e-05]","[1, 4.9077062204637085e-14]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.15313612348236053]","[1, 0.2127757206323158]","[5, 0.036175865426833445]","[100, 100]","[2, 0.9999999192816562]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.3032218017750722]","[5, 0.15754972238699474]","[100, 100]","[1, 0.9930284067774955]","[1, 0.9995414859473678]","[2, 0.9999999823819049]","[5, 0.16965328936767107]","[4, 0.00018927005888117715]","[1, 1.0]","[2, 0.26495231148946585]","[1, 1.0]","[1, 4.635462941017019e-09]","[1, 0.9980671542257682]","[1, 0.04877635864190286]","[1, 0.1325799595502395]","[1, 0.9959760408053948]"
Parent affect:positive 1,"[1, 0.06833168276072188]","[3, 0.7098810475183286]","[4, 0.8607322841300143]","[1, 1.0]","[2, 4.54300377439095e-09]","[3, 0.3754129106091345]","[3, 0.17256317896970597]","[1, 1.0]","[2, 0.6726890606924626]","[1, 1.0]","[2, 4.54300377439095e-09]","[3, 0.03954981982089845]","[1, 1.0]","[1, 1.0]","[2, 0.15349058903523324]","[1, 0.03864890952696988]","[1, 0.23961957656746874]","[1, 1.3998162291117904e-07]","[100, 100]","[3, 0.03954981982089845]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.004565897080694976]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.25269339632729576]","[4, 0.1126838808931868]","[3, 0.005605841193650501]","[1, 1.0]","[1, 0.18225932988484617]","[1, 1.0]","[1, 0.01640601595030023]","[2, 0.2631050771459808]","[4, 0.815044228524127]","[1, 1.0]"
Parent gesture:point at prop,"[1, 0.3907161849750932]","[4, 0.1544924410818429]","[3, 0.21187278826125444]","[1, 1.0]","[4, 0.998664585999115]","[1, 1.0]","[2, 0.3312692640729267]","[1, 1.0]","[2, 0.24304922047239053]","[4, 0.024385271930073237]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.03666317460447743]","[2, 0.0929642092127544]","[4, 0.0001498161259900303]","[1, 1.0]","[4, 0.0020897298679380815]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.05435173805388909]","[5, 0.015475141705772164]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.29764469813012406]","[1, 1.0]","[1, 0.009864420122562816]","[1, 0.01854217818985245]","[4, 0.9999857838605428]","[3, 0.050226341268006174]","[3, 0.16408363754728278]","[4, 0.27371386864906033]","[1, 0.1237043797532322]","[3, 0.00035261791274672353]","[1, 1.0]"
Parent gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child prop manipulation:child,"[4, 0.0031665893372984683]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 6.184021046049893e-11]","[4, 9.467127307285007e-08]","[1, 1.0]","[100, 100]","[100, 100]","[5, 2.4441920127422796e-06]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 6.303130176215563e-09]","[1, 1.0]","[1, 1.0]","[4, 0.0051238350741378055]","[1, 0.00015085980037662133]","[1, 1.0]","[4, 1.1638888718888096e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Parent prop manipulation:parent,"[2, 0.6915113310461007]","[1, 0.2678742088443613]","[2, 0.5701812546114822]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0033492256783864307]","[1, 1.0]","[4, 0.47186010751909224]","[4, 0.6636296599400655]","[1, 1.0]","[4, 0.11582737493064355]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.00849893641126681]","[3, 0.09002979144939265]","[1, 1.0]","[1, 1.0]","[4, 0.11582737493064355]","[100, 100]","[2, 3.6025698661104843e-16]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.0049950644751547025]","[2, 0.09236566133313327]","[2, 0.03590726477792476]","[3, 0.0007433564898778982]","[4, 0.04446542633863939]","[5, 0.16775552466488108]","[3, 0.16408363754728278]","[5, 0.0674959022837353]","[1, 1.0]","[3, 0.41504714426181244]","[1, 1.0]"
robot pointing:point at prop,"[2, 0.622987815203724]","[1, 0.20893248267956244]","[2, 0.48543711587253136]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.09707447360069539]","[1, 1.0]","[1, 0.05651144206867277]","[5, 0.008893003849771992]","[1, 1.0]","[3, 0.19023247718144073]","[1, 1.0]","[1, 1.0]","[3, 6.376676269119247e-05]","[2, 0.08689307639962014]","[2, 0.20519868055609106]","[1, 1.0]","[3, 0.0009605357909372366]","[3, 0.19023247718144073]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.02931525773293228]","[5, 0.002317605909504651]","[1, 1.0]","[1, 1.0]","[1, 0.003824988044382106]","[2, 0.12443260661534404]","[1, 2.2700942097366877e-07]","[1, 1.0]","[5, 0.33012735325047876]","[2, 0.17441211366160939]","[1, 1.0]"
robot text:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:song,"[4, 0.9999999999881404]","[4, 0.9999999999677878]","[1, 0.9969875152395543]","[1, 0.9866393147242578]","[1, 1.0]","[2, 0.9999816697848098]","[1, 2.961297503730755e-10]","[1, 0.9896512439442323]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 2.0816158453126008e-06]","[4, 0.9999999999808755]","[4, 0.0001270900365038433]","[1, 0.9930230832728476]","[3, 4.118354939552032e-17]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9963862351717503]","[1, 1.0]","[1, 0.9935821952542788]","[1, 0.9935821952542788]","[4, 1.4886290282408136e-09]","[1, 1.0]","[1, 0.9866393147242578]"
robot text:teach,"[2, 0.4366412175274873]","[5, 0.7332240448648327]","[5, 0.39126086653785447]","[1, 1.0]","[1, 1.0]","[2, 0.04425437478928939]","[1, 0.028032914644743535]","[1, 1.0]","[1, 0.01157826443594569]","[4, 0.016047006813857477]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.00022603556545306192]","[3, 0.013216154532325653]","[1, 0.09630688350553367]","[1, 1.0]","[2, 7.558988248918305e-05]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.0038874259841395593]","[5, 3.758669639489053e-06]","[1, 1.0]","[1, 1.0]","[1, 0.00012495771607350334]","[2, 0.025758403478133837]","[4, 2.2090953648440595e-12]","[1, 1.0]","[5, 0.008175456504563961]","[1, 0.07770451868440073]","[1, 1.0]"
robot text:pick up,"[2, 0.00722280386503412]","[5, 0.9413936914285125]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.08331659837225738]","[2, 0.0012406152661992237]","[3, 0.240148544720022]","[1, 0.1237043797532322]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.19758075969075956]","[4, 0.07128268104173924]","[2, 0.08515423414950304]","[2, 0.002258502889786578]","[1, 4.049477531177297e-05]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 5.376149025712566e-06]","[100, 100]","[1, 1.0]","[2, 3.872614359981741e-10]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.00465761374625509]","[3, 0.03315127873124661]","[5, 0.010253260617490285]","[5, 7.411773190194474e-06]","[5, 0.4012896288033329]","[5, 0.4105763028821064]","[2, 0.0626008065450526]","[1, 1.0]"
robot text:positive feedback,"[1, 0.33034733973337527]","[4, 0.5196759023975135]","[1, 0.2293530438811118]","[1, 1.0]","[1, 1.0]","[4, 0.12095553406472526]","[3, 0.002448104164842453]","[1, 1.0]","[1, 0.3410544000049972]","[2, 0.21805283071733111]","[4, 6.303130176215916e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.614664340573385]","[5, 0.39826469933382724]","[2, 0.0003848369611051943]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.14920871005474776]","[5, 0.26334642049698254]","[4, 0.16046438230307422]","[5, 0.25513983567338494]","[1, 1.0]","[5, 0.03715395547938128]","[1, 1.0]"
