,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:missing data,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:other vocalization,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent gaze:missing data,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Joint attention:missing data,Mutual gaze:MG
Parent utterance:missing data,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Verbal scaffolding:cognitive,"[5, 0.0003226031530785587]","[1, 0.3992465842243733]","[3, 0.6324765770091711]","[100, 100]","[1, 1.0]","[1, 0.14537312758259566]","[3, 0.0003967844441198982]","[5, 0.8803041375941786]","[1, 0.35278813429335165]","[100, 100]","[100, 100]","[100, 100]","[4, 0.9865634066010618]","[1, 1.0]","[2, 0.00020318475255501765]","[100, 100]","[1, 0.09212296325765214]","[5, 0.48325773266146543]","[4, 0.7038120255571455]","[1, 1.0]","[4, 0.8923701371021235]","[3, 0.12670307133116746]","[2, 0.00020318475255501765]","[100, 100]","[4, 0.8721690953706052]","[3, 0.03395194964859717]","[2, 0.01280542106675515]","[100, 100]","[100, 100]","[2, 0.01280542106675515]","[3, 0.6423534300217721]","[1, 1.0]","[1, 5.2966019525547256e-05]","[3, 0.09793945290361718]","[1, 0.8630315773055426]","[1, 0.016345870846686796]","[4, 0.07897729083680148]","[4, 0.6419212263526742]","[5, 5.296135497213681e-06]","[4, 0.47609343869188103]","[3, 0.6574399984584605]","[100, 100]","[1, 1.0]"
Verbal scaffolding:affective,"[1, 0.9876653610351172]","[2, 0.4408648521727001]","[4, 0.0896680674512653]","[100, 100]","[1, 0.9891683330625222]","[2, 0.0003852934606051552]","[1, 1.0]","[4, 0.008412791120390874]","[4, 0.4927091492025406]","[100, 100]","[100, 100]","[3, 0.43321621818918943]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.0008759042955060827]","[1, 0.17933789832470914]","[5, 0.2746381182503839]","[1, 0.9786016845198529]","[3, 0.0005476507961953343]","[4, 0.018865832926748406]","[1, 1.0]","[100, 100]","[1, 0.08854361356572865]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.6360574679296892]","[5, 1.1065045885493951e-09]","[5, 0.052742399874152086]","[1, 1.0]","[1, 1.0]","[1, 0.9876653610351172]","[1, 0.9876653610357724]","[1, 0.9786016845198529]","[1, 0.9786016845198529]","[1, 0.12045590849661757]","[1, 0.2736283751473877]","[100, 100]","[1, 1.0]"
Verbal scaffolding:technical,"[1, 1.0]","[1, 0.023540058261177527]","[4, 0.014092623974878196]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[4, 2.4888523783937946e-07]","[1, 1.0]","[3, 2.5097027929710137e-05]","[1, 1.0]","[1, 1.0]","[1, 2.4375206098110904e-10]","[1, 1.0]","[100, 100]","[3, 0.00018673656040772962]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.10798320775240096]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.00021151246356319032]","[100, 100]","[100, 100]"
Non-verbal scaffolding:cognitive,"[1, 1.0]","[3, 0.16527720313256178]","[4, 0.335757945639874]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.11573403829855251]","[100, 100]","[100, 100]","[2, 0.012790563339562524]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.236745352637716]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[4, 0.03465853816896066]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.11833417108036319]","[4, 0.342178729125297]","[100, 100]","[1, 1.0]"
Non-verbal scaffolding:technical,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent gaze:child,"[1, 0.9876741813061131]","[3, 0.006838039442499494]","[1, 0.02304649351256598]","[100, 100]","[1, 1.2753487013804007e-12]","[1, 1.0]","[3, 0.9317916652998137]","[1, 0.10280617170924287]","[5, 0.09786571165762985]","[100, 100]","[100, 100]","[3, 0.9952708105608138]","[5, 1.0321664809271127e-06]","[1, 8.715146391971874e-05]","[1, 1.0]","[100, 100]","[100, 100]","[3, 0.991421547493196]","[4, 0.14374723627985403]","[1, 0.9786170092787345]","[1, 1.0]","[5, 0.6927486068482294]","[1, 1.0]","[100, 100]","[1, 0.0885436961518822]","[1, 1.0]","[1, 8.71514639197174e-05]","[100, 100]","[100, 100]","[1, 8.71514639197174e-05]","[2, 0.23619915553405807]","[5, 0.09488078461023403]","[4, 0.014103965649787152]","[1, 1.0]","[1, 1.0]","[1, 0.9876741813054574]","[1, 0.9876741813054574]","[1, 0.9786170092787345]","[1, 0.9786170092787345]","[3, 0.9867509215655861]","[4, 0.097784149989789]","[100, 100]","[1, 3.910151780257699e-05]"
Parent gaze:robot,"[3, 0.9154053157526041]","[1, 0.11101710551218552]","[5, 0.3500563134681919]","[100, 100]","[1, 1.0]","[1, 0.20951084877439183]","[3, 0.9346682334164166]","[3, 0.17148455213671496]","[3, 0.058088323366599845]","[100, 100]","[100, 100]","[1, 0.30490178817878777]","[3, 0.3161595531109556]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.1446614877728044]","[100, 100]","[1, 0.00060252277801862]","[5, 0.014290539608495571]","[2, 0.0010467460093232528]","[3, 0.4200613140014614]","[1, 1.0]","[100, 100]","[1, 0.02354005826117827]","[1, 1.0]","[2, 0.0403696336343225]","[100, 100]","[100, 100]","[2, 0.0403696336343225]","[3, 0.022380958204776504]","[1, 0.1091327594925142]","[5, 0.5498277094359538]","[5, 0.00428735315783957]","[3, 0.5926015878912299]","[4, 0.34189253698242456]","[4, 0.3055635226708917]","[1, 1.0]","[5, 0.9999420921321606]","[5, 0.3156590786038175]","[3, 0.013929327376054252]","[100, 100]","[1, 1.0]"
Parent gaze:props,"[2, 0.1644284924357434]","[3, 0.02615933971550439]","[4, 0.14127018381239825]","[100, 100]","[1, 9.633357416387552e-05]","[1, 0.24972269988076845]","[1, 1.0]","[3, 0.0023942191208165676]","[1, 0.08727818661870132]","[100, 100]","[100, 100]","[3, 0.7581999034305312]","[5, 0.5449527849738014]","[1, 0.020057682139259334]","[1, 1.0]","[100, 100]","[1, 0.17526557247451896]","[2, 1.230647144392393e-06]","[100, 100]","[5, 0.021693776567783974]","[2, 3.261420854430838e-05]","[1, 0.05726106471485892]","[1, 1.0]","[100, 100]","[2, 0.15465573810344319]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.42877968850004955]","[5, 0.3168906037806722]","[4, 0.2497644293189432]","[1, 0.1833348550169376]","[1, 0.10242462828630525]","[2, 0.16442849243574015]","[4, 0.41330458871869535]","[1, 0.9870195541899475]","[1, 0.9870195541899475]","[2, 0.1767458794319958]","[5, 0.018850093434467887]","[100, 100]","[1, 1.2257682949767475e-06]"
Parent gaze:missing data,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent affect:positive 1,"[1, 1.0]","[1, 2.428467472975892e-06]","[1, 1.2719403810826604e-05]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0015266427037938426]","[5, 0.6334970536684689]","[100, 100]","[100, 100]","[1, 0.0031896997062168865]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.0010560613836801118]","[5, 0.3435489598418573]","[1, 1.0]","[100, 100]","[1, 2.437520609811054e-10]","[1, 1.0]","[100, 100]","[2, 0.003974812198001298]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 1.5604870446400243e-05]","[2, 0.005028904099407933]","[4, 0.0012856174398655643]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.00015519371000052802]","[1, 2.007865612426474e-05]","[100, 100]","[1, 1.0]"
Parent affect:positive 2,"[1, 0.9811325154928546]","[1, 0.99207892402417]","[4, 0.5420020216781265]","[100, 100]","[3, 1.2447646321279198e-08]","[5, 0.12249262965942126]","[1, 0.991567223207738]","[3, 0.0918765151017572]","[1, 0.14788990904445234]","[100, 100]","[100, 100]","[1, 0.016733469504874938]","[1, 0.9876535810276569]","[4, 5.390112523134746e-10]","[1, 1.0]","[100, 100]","[2, 4.2353732718649554e-13]","[1, 0.036570862957858746]","[2, 0.17167337510675432]","[1, 0.9672718126877196]","[2, 0.9999436772713746]","[100, 100]","[1, 1.0]","[100, 100]","[2, 0.00071849988530756]","[1, 1.0]","[3, 1.2452626050031014e-08]","[100, 100]","[100, 100]","[3, 1.2452626050031014e-08]","[4, 0.14654992453623386]","[1, 0.0001667107729953786]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9811325154928546]","[1, 0.9811325154928546]","[1, 0.9672718126880077]","[1, 0.9672718126877196]","[1, 0.015029190476286073]","[2, 0.24095210594032349]","[100, 100]","[3, 1.2452626050030526e-08]"
Parent gesture:point at prop,"[1, 1.0]","[3, 0.16527720313256178]","[4, 0.335757945639874]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.11573403829855251]","[100, 100]","[100, 100]","[2, 0.012790563339562524]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.236745352637716]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[4, 0.03465853816896066]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.11833417108036319]","[4, 0.342178729125297]","[100, 100]","[1, 1.0]"
Parent affective touch:affective touch,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child prop manipulation:child,"[1, 1.0]","[1, 0.3111846688226196]","[2, 0.27303126935240735]","[100, 100]","[5, 0.00016059035393023815]","[3, 0.035702251595740406]","[2, 0.0050289040994079175]","[2, 0.525826107465998]","[5, 0.039565980873468354]","[100, 100]","[100, 100]","[2, 0.008609757166169034]","[5, 0.2058821531856027]","[5, 5.037150681158839e-05]","[1, 1.0]","[100, 100]","[5, 0.12107741750122451]","[4, 0.820450411053856]","[2, 0.5231921190846637]","[1, 1.0]","[2, 0.9484506391554668]","[2, 0.9291923055965315]","[1, 1.0]","[100, 100]","[100, 100]","[4, 0.02723655766545877]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.15521848968467705]","[5, 0.5223773885776851]","[2, 0.014500209649910388]","[4, 0.006609404083496743]","[2, 0.07594695011327535]","[1, 1.0]","[1, 0.008578871105527384]","[1, 2.276430858711356e-06]","[1, 1.0]","[4, 0.7741604705707107]","[1, 0.3603078150134065]","[100, 100]","[5, 8.533181623624545e-05]"
Parent prop manipulation:parent,"[4, 1.8679196329426526e-29]","[4, 0.1461826789222508]","[5, 0.03225050352320527]","[100, 100]","[1, 1.0]","[2, 0.0013157698684974322]","[2, 3.943661980176111e-15]","[1, 1.0]","[1, 0.07707677409061771]","[100, 100]","[100, 100]","[1, 2.5396285894708355e-10]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.4691165747819491]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0001118844412071694]","[5, 0.00017397470748010507]","[1, 1.0]","[4, 2.051789638741058e-20]","[5, 2.2746871111459552e-26]","[1, 7.568144119453416e-46]","[4, 2.451463634248164e-85]","[1, 1.0]","[5, 0.043700655923637345]","[100, 100]","[1, 1.0]"
robot pointing:point at prop,"[1, 1.0]","[5, 0.8777373736695696]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.0013157698684974322]","[5, 0.00017397470748010233]","[1, 1.0]","[5, 0.956603287259111]","[100, 100]","[100, 100]","[5, 0.7112671604422468]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.27442182026197964]","[5, 0.8308184267286001]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.015414318692871888]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.0011768659106247488]","[5, 1.3534128902161922e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.7181175868814582]","[1, 1.0]","[100, 100]","[1, 1.0]"
robot text:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:song,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
