,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child gaze:robot or prop,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:other vocalization,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Parent gaze:child,Parent gaze:robot,Parent gaze:missing data,Parent gaze:props,Parent gaze:child child,Parent gaze:robot or prop,Parent affect:positive 3,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Parent utterance:missing data,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Verbal scaffolding:cognitive,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Verbal scaffolding:affective,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Non-verbal scaffolding:cognitive,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent gaze:child,"[2, 0.03296792050869228]","[4, 0.021700706450808835]","[3, 3.606728022814914e-08]","[100, 100]","[100, 100]","[3, 0.03505824170335136]","[100, 100]","[100, 100]","[4, 0.4911698517812071]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 0.0022286324524889416]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.0022477298593582607]","[2, 0.01172211824697599]","[1, 0.9911690759466141]","[100, 100]","[5, 0.35723101347322]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.9846881324863197]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.003099054994164096]","[1, 0.9911690759466141]","[1, 0.9911690759444578]","[100, 100]","[4, 0.017853567110656984]","[100, 100]","[100, 100]"
Parent gaze:robot,"[3, 0.0784924674007241]","[4, 0.020433417762628112]","[3, 3.606728022815023e-08]","[100, 100]","[100, 100]","[3, 0.03505824170335131]","[100, 100]","[100, 100]","[5, 0.6178637515033735]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 3.3382081323973383e-13]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.006867289961351896]","[3, 0.03116683215419492]","[1, 0.9911690759530828]","[100, 100]","[1, 0.00887836446500248]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.9846881324863197]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.0092438938095974]","[1, 0.9911690759530828]","[1, 0.9911690759509265]","[100, 100]","[4, 0.06048792649868456]","[100, 100]","[100, 100]"
Parent gaze:missing data,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent gaze:props,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent gaze:child child,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent gaze:robot or prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent affect:positive 3,"[1, 0.9836297958539533]","[2, 0.9998148337769303]","[1, 0.9734530450827913]","[100, 100]","[100, 100]","[5, 5.823456555459183e-13]","[100, 100]","[100, 100]","[1, 0.0012197452449712847]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9879906609234642]","[1, 0.9879906609234642]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9891755403426922]","[1, 0.9891755403426922]","[100, 100]","[1, 0.9881418172571086]","[100, 100]","[4, 0.9999999999669269]","[100, 100]","[1, 0.9734530450822534]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9783351451760115]","[1, 8.303933049312971e-10]","[1, 8.303933049312971e-10]","[100, 100]","[1, 0.9974130570193367]","[100, 100]","[100, 100]"
Parent affect:positive 2,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[5, 1.967243432504044e-08]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.5084214610761037e-07]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]"
Parent affect:positive 1,"[1, 0.9881418172486726]","[2, 0.9998148337770197]","[1, 0.9734530450827913]","[100, 100]","[100, 100]","[3, 0.9999999476836191]","[100, 100]","[100, 100]","[1, 0.0012197452449712834]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9911625876611398]","[1, 0.991162587662757]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9891755403334503]","[1, 1.50839300034095e-07]","[100, 100]","[100, 100]","[1, 0.9881418172486726]","[100, 100]","[4, 0.9999999999669269]","[100, 100]","[1, 0.9734530450822534]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9846881490488278]","[1, 8.303933049312534e-10]","[1, 8.303933049312756e-10]","[100, 100]","[2, 0.9999495374069046]","[100, 100]","[100, 100]"
Parent gesture:point at prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent affective touch:affective touch,"[5, 2.3715799723848825e-05]","[2, 0.999889141855942]","[1, 0.9794489156834196]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 0.012863080825082612]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 0.13881123991480376]","[3, 0.07849433492408778]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 1.876798730591058e-05]","[2, 0.00035163395992403724]","[1, 0.988147043032471]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.9794489156834196]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 2.188710678092514e-05]","[5, 0.00048556137739304793]","[1, 0.988147043032471]","[100, 100]","[3, 0.16425164648263285]","[100, 100]","[100, 100]"
Child prop manipulation:child,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot pointing:point at prop,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 0.0017697832996647347]","[100, 100]","[100, 100]","[4, 0.4341088255808663]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.004420867994229925]","[1, 1.0]","[5, 3.933203569965739e-05]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[4, 0.010992654428334006]","[4, 0.010992654428334185]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]"
robot text:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:song,"[1, 0.9793943792549458]","[2, 0.9994384018028581]","[1, 0.9538836148901134]","[100, 100]","[100, 100]","[4, 7.879737526883751e-21]","[100, 100]","[100, 100]","[2, 0.9998129047412989]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.984642986813947]","[1, 0.9846429868146463]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9733943343450715]","[1, 1.0]","[1, 0.973394334345475]","[100, 100]","[1, 0.9793943792549458]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.973394334345475]","[1, 0.973394334345475]","[1, 0.973394334345475]","[100, 100]","[2, 0.999846929802503]","[100, 100]","[100, 100]"
robot text:teach,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:pick up,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:try again,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:positive feedback,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:put down,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Conversational turns:PC,"[1, 0.9953853601856272]","[3, 4.858677683615791e-06]","[1, 0.9734530450827913]","[100, 100]","[100, 100]","[5, 4.2220185792198026e-08]","[100, 100]","[100, 100]","[1, 0.9971580061011788]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 0.001441783602598573]","[5, 0.0011241662271799819]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9783351451766709]","[1, 0.9953853601856272]","[1, 0.9846881490488278]","[100, 100]","[1, 0.9881418172498777]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.9734530450827913]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9846881490478946]","[1, 0.9891755403334503]","[100, 100]","[5, 0.019101835756594375]","[100, 100]","[100, 100]"
Conversational turns:CP,"[1, 0.9918183369800014]","[2, 0.9998148337769974]","[1, 0.9734530450827913]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 0.9939966886417932]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9911625876595226]","[1, 0.9911625876595226]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9846881490488278]","[1, 1.0]","[1, 0.9846881490488278]","[100, 100]","[1, 0.9881418172474674]","[100, 100]","[5, 0.9999999999999425]","[100, 100]","[1, 0.9734530450827913]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9846881490478946]","[100, 100]","[1, 0.9931550171221184]","[100, 100]","[2, 0.9999495374068599]","[100, 100]","[100, 100]"
Conversational turns:PCP,"[1, 0.9881418172498777]","[2, 0.9998148337770197]","[1, 0.9734530450822534]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 0.9899788485328201]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 0.0217005720757548]","[5, 0.02160152525926237]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9846881490488278]","[1, 1.0]","[1, 0.9846881490488278]","[100, 100]","[1, 0.9881418172486726]","[100, 100]","[5, 0.9999999999999425]","[100, 100]","[1, 0.9734530450822534]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9891755403321301]","[1, 0.9931550171242064]","[100, 100]","[100, 100]","[5, 0.1254452988509599]","[100, 100]","[100, 100]"
Conversational turns:CPC,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
