,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:child,Parent gaze:robot,Parent gaze:missing data,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:put down,robot text:positive feedback,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Verbal scaffolding:cognitive,"[1, 1.0]","[3, 0.0004978373813379494]","[3, 1.3658634584580845e-12]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 1.3658634584580845e-12]","[1, 1.0]"
Verbal scaffolding:affective,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Non-verbal scaffolding:cognitive,"[1, 0.09937267748042669]","[3, 0.0004978373813379611]","[3, 1.3658634584580845e-12]","[1, 1.0]","[1, 1.0]","[1, 1.712339808270116e-07]","[1, 1.0]","[1, 1.0]","[2, 0.00012126356518632687]","[1, 1.0]","[1, 6.245443455252938e-08]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.2086108509450978]","[1, 1.0]","[1, 1.0]","[4, 0.0038728835184241783]","[1, 1.0]","[4, 0.9977422937301624]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.0010339132056489777]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 1.0294181132709144e-06]","[1, 0.0028314099374924947]","[5, 4.8251896531334016e-20]","[1, 1.0]","[1, 1.0]","[3, 1.3658634584580845e-12]","[1, 1.0]"
Non-verbal scaffolding:technical,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Non-verbal scaffolding:affective,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent gaze:child,"[4, 0.04851298523628003]","[4, 0.5266615317382801]","[3, 0.9948383293106194]","[4, 0.009762563731286776]","[1, 0.18280910729850094]","[3, 0.9855519265174504]","[2, 0.043007076664017006]","[3, 0.10812664558117095]","[3, 0.013086330883161326]","[1, 1.0]","[3, 0.9855519265174633]","[100, 100]","[1, 0.2118042207840999]","[100, 100]","[100, 100]","[100, 100]","[1, 8.977645541928202e-06]","[1, 1.0]","[3, 2.59858107631361e-05]","[5, 0.9998074926191242]","[4, 0.07031547015250735]","[1, 0.2118042207840999]","[100, 100]","[100, 100]","[100, 100]","[3, 0.4318657298269364]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.2575427612806919]","[2, 0.35410974823946]","[3, 0.9145875108719596]","[2, 0.20988715043380868]","[4, 0.003280484108742078]","[3, 0.9948383293106194]","[3, 0.961912560604687]"
Parent gaze:robot,"[3, 0.18362925043053813]","[3, 0.00017782688722956576]","[1, 0.016258977279674916]","[1, 1.0]","[1, 0.07007970554577432]","[1, 1.0]","[1, 1.0]","[4, 0.26945336936930453]","[4, 0.04446209918220539]","[2, 5.966131892809256e-06]","[4, 0.02001911665395929]","[100, 100]","[4, 0.5823718604348959]","[100, 100]","[100, 100]","[1, 0.008692730624719331]","[100, 100]","[1, 8.132073499970074e-13]","[4, 0.9999962205263137]","[1, 1.0]","[3, 0.051823405739962594]","[4, 0.5823718604348959]","[100, 100]","[100, 100]","[100, 100]","[1, 0.09040579509951144]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.5140293388331507]","[4, 0.431532945742086]","[1, 1.0]","[1, 1.0]","[3, 0.0003394130719412806]","[1, 0.016258977279674916]","[1, 1.0]"
Parent gaze:missing data,"[1, 1.0]","[2, 0.00013758008860708992]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 9.514385999613276e-115]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Parent gaze:props,"[4, 0.017496504082465048]","[3, 0.15135721491634416]","[1, 0.006327645547417843]","[4, 5.475071570387796e-07]","[3, 0.9393836654125616]","[5, 0.005431455825199591]","[2, 0.00047312182927097536]","[1, 1.0]","[4, 0.004858284828460064]","[1, 1.0]","[4, 0.0006735898824871099]","[100, 100]","[1, 0.054618535548064624]","[100, 100]","[100, 100]","[3, 0.09897186969157236]","[3, 0.9842477308484044]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.14529388798816784]","[1, 0.054618535548064624]","[100, 100]","[100, 100]","[100, 100]","[3, 0.2063861883040781]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 0.010347896131962698]","[2, 0.08402477370039643]","[3, 0.4105336191186679]","[1, 0.006327645547417843]","[3, 0.9812978585296915]","[1, 0.006327645547417843]","[3, 0.3817216502911989]"
Parent affect:positive 2,"[1, 0.0008714424875593867]","[4, 1.7181017720337156e-07]","[1, 1.0]","[3, 0.9998301907441378]","[3, 0.9999909006365733]","[1, 1.0]","[1, 1.0]","[3, 0.9999832107570291]","[3, 0.9999970509889236]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[4, 0.011346386548190772]","[5, 0.00021485463012114425]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 1.2363840565117167e-17]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.9999675130551005]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.9998301907441394]"
Parent affect:positive 1,"[3, 0.058679151930269416]","[3, 0.12461756902821827]","[1, 1.0]","[1, 1.0]","[3, 0.01895434967385307]","[1, 1.0]","[1, 1.0]","[3, 0.0028033626746152736]","[5, 0.0898338177430245]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.01289308922974741]","[100, 100]","[100, 100]","[2, 0.3541097523075872]","[4, 0.1010677054194461]","[1, 1.0]","[4, 0.00016487729353258218]","[1, 1.0]","[100, 100]","[2, 0.01289308922974741]","[100, 100]","[100, 100]","[100, 100]","[2, 0.01289308922974741]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.014396559840765601]","[2, 0.002900543508409413]","[1, 1.0]","[2, 0.00013758008860709542]","[2, 0.1161780235011217]","[1, 1.0]","[1, 1.0]"
Parent gesture:point at prop,"[1, 0.09937267748042669]","[3, 0.0004978373813379611]","[3, 1.3658634584580845e-12]","[1, 1.0]","[1, 1.0]","[1, 1.712339808270116e-07]","[1, 1.0]","[1, 1.0]","[2, 0.00012126356518632687]","[1, 1.0]","[1, 6.245443455252938e-08]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.2086108509450978]","[1, 1.0]","[1, 1.0]","[4, 0.0038728835184241783]","[1, 1.0]","[4, 0.9977422937301624]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.0010339132056489777]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 1.0294181132709144e-06]","[1, 0.0028314099374924947]","[5, 4.8251896531334016e-20]","[1, 1.0]","[1, 1.0]","[3, 1.3658634584580845e-12]","[1, 1.0]"
Parent gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child prop manipulation:child,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent prop manipulation:parent,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot pointing:point at prop,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.11607949837027146]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.1792865431408183]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.24673080044455906]","[100, 100]","[100, 100]","[4, 0.029972172753921014]","[1, 0.0904057950995089]","[1, 1.0]","[4, 0.007855920104676251]","[1, 1.0]","[4, 0.0014150713035394134]","[5, 0.24673080044455906]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.07512457112687611]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.05657939940419228]","[1, 1.0]","[1, 1.0]"
robot text:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:song,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.0008648853587791938]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
robot text:teach,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:pick up,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:try again,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:put down,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:positive feedback,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:correction,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
